>requestaudit/6	02.23 17:13:37.875	IdcServer-10	CLEAR_SERVER_OUTPUT [dUser=weblogic][IsJava=1] 0.006635999772697687(secs)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	isLeaf=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	itemCount=-1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	itemStartRow=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	itemType=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	localizedForResponse=1
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	menuCounter=10
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	oldDisplayName=DFC
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	pagePath=/ACL
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	path=/ACL
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	refreshMonikers=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	refreshSubMonikers=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	refreshSubjects=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	xClbraAliasList=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	xClbraRoleList=
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	xClbraUserList=&sysadmin(RWD),&weblogic(RW)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	***  RESULT SETS  ***
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	--- @ResultSet FolderInfo ---
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	numFields=38,numRows=1,currentRow=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDisplayName[0]=(DFC)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDisplayDescription[1]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fAllocatedFolderSize[2]=(-1)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fAllocatorParentFolderGUID[3]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fApplication[4]=(framework)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fApplicationGUID[5]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fChildFilesCount[6]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fChildFoldersCount[7]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fClbraAliasList[8]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fClbraRoleList[9]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fClbraUserList[10]=(&weblogic(RW))
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fCreateDate[11]=(2/23/16 2:37 AM)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fCreator[12]=(weblogic)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDocAccount[13]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDocClasses[14]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderDescription[15]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderGUID[16]=(1AA4D433E0FBA6636343A5AF17F70509)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderName[17]=(DFC)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderSize[18]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderType[19]=(owner)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fInhibitPropagation[20]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsBrokenShortcut[21]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsContribution[22]=(1)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsFavorite[23]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsInTrash[24]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fIsLibrary[25]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fLastModifiedDate[26]=(2/23/16 2:37 AM)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fLastModifier[27]=(weblogic)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fLibraryType[28]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fOwner[29]=(weblogic)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fParentGUID[30]=(B7989D50165705063A4B6E49060A2066)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fPromptForMetadata[31]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fRealItemGUID[32]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fSecurityGroup[33]=(Public)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fTargetGUID[34]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	isLeaf[35]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	itemType[36]=(1)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	folderPermissions[37]=(RWDA)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	--- @ResultSet FolderListingHTML ---
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	numFields=1,numRows=1,currentRow=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	row[0]=(<div class="fldFolderListingTableItem" id="folder_1AA4D433E0FBA6636343A5AF17F70509" >
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		<label for="checkbox-folder-1AA4D433E0FBA6636343A5AF17F70509" class="hidden">Select 'DFC'</label>
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		<input type="checkbox" id="checkbox-folder-1AA4D433E0FBA6636343A5AF17F70509"  />
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	<a id="menuLink_868065274" href="javascript:void(0);" onclick="return false;"><img id="menuImg_868065274" alt="Actions" title="Actions" src="/cs/resources/layouts/Top Menus/Oracle/ActionsIcon.gif" height="16" width="16" border="0" /></a>
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		<a href="/cs/idcplg?IdcService=FLD_BROWSE&path=%2fACL%2fDFC&doMarkSubscribed=1"><img src="/cs/resources/layouts/Top Menus/Oracle/tree_icon_collection_closed.gif" alt="Folder" /></a>
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		<a class="xuiLinkText2_sm_wrap" style="white-space:pre"href="/cs/idcplg?IdcService=FLD_BROWSE&path=%2fACL%2fDFC&doMarkSubscribed=1">DFC</a>
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	</div>
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	--- @ResultSet FolderListingScript ---
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	numFields=1,numRows=1,currentRow=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	row[0]=(
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	var menuItems_868065274 = [
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldEditFolderInformation", text: "Update Folder Information", url: "javascript:idc.folders.showEditFolderPopup(\"1AA4D433E0FBA6636343A5AF17F70509\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldNewShortcutGivenTarget", text: "Create Shortcut", url: "javascript:idc.folders.showCreateShortcutGivenTargetPopup(\"1AA4D433E0FBA6636343A5AF17F70509\",\"DFC\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldRenameFolder", text: "Rename", url: "javascript:idc.folders.renameFolder(\"1AA4D433E0FBA6636343A5AF17F70509\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldMoveFolder", text: "Move", url: "javascript:idc.folders.moveSingleItem(\"fFolderGUID:1AA4D433E0FBA6636343A5AF17F70509\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldCopyFolder", text: "Copy", url: "javascript:idc.folders.copySingleItem(\"fFolderGUID:1AA4D433E0FBA6636343A5AF17F70509\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldDeleteFolder", text: "Delete", url: "javascript:idc.folders.deleteSingleItem(\"fFolderGUID:1AA4D433E0FBA6636343A5AF17F70509\",\"fFolderType:owner\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldAddToMyFolder", text: "Add To My Folders", url: "javascript:idc.folders.addToMyFolder(\"fFolderGUID:1AA4D433E0FBA6636343A5AF17F70509\",\"fFolderName:DFC\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20		{ id: "menuitem_868065274_fldSubscribeFolder", text: "Subscribe", url: "javascript:idc.folders.subscribeSingleItem(\"fFolderGUID:1AA4D433E0FBA6636343A5AF17F70509\",\"fApplication:framework\",\"fFolderType:owner\")"},
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	];
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20			var menuListenerArgs = {menuId: 'menu_868065274', imageId: 'menuImg_868065274', linkId: 'menuLink_868065274'};
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20			if (typeof(menuItems_868065274) != 'undefined')
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20			{
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20				menuListenerArgs.menuItems = menuItems_868065274;
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20			}
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	     YAHOO.util.Event.addListener('menuLink_868065274', 'click', idc.widget.util.createAndDisplayImagePopupMenu, menuListenerArgs);
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	--- @ResultSet TaskList ---
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	numFields=9,numRows=1,currentRow=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	taskType[0]=(edit)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	taskResolutionCode[1]=(0)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	taskWasSuccessful[2]=(1)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	taskMessage[3]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fItemIdentifier[4]=(fFolderGUID:1AA4D433E0FBA6636343A5AF17F70509)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFolderType[5]=(owner)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fFileType[6]=()
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fDisplayName[7]=(DFC)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	fPath[8]=(/ACL/DFC)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	--- @ResultSet UserAttribInfo ---
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	numFields=2,numRows=1,currentRow=0
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	dUserName[0]=(weblogic)
 PushRIDC/6	02.23 17:14:12.908	IdcServer-20	AttributeInfo[1]=(account,#0023none,15,account,#0023all,15,role,guest,15,role,authenticated,15,role,admin,15,role,sysmanager,15,role,refineryadmin,15,role,rmaadmin,15,role,pcmadmin,15,role,ermadmin,15)
>requestaudit/6	02.23 17:14:12.909	IdcServer-20	FLD_EDIT_FOLDER [dUser=weblogic][StatusCode=0] 0.06734299659729004(secs)
>requestaudit/6	02.23 17:14:13.088	IdcServer-21	FLD_BROWSE [dUser=weblogic][StatusCode=0] 0.14998400211334229(secs)
>requestaudit/6	02.23 17:14:13.342	IdcServer-32	GET_PERSONALIZED_JAVASCRIPT [dUser=weblogic] 0.018776999786496162(secs)
>requestaudit/6	02.23 17:14:22.943	IdcServer-45	PING_SERVER [dUser=anonymous][StatusCode=-20][StatusMessage=Unable to establish connection to the server. To proceed, you must enter the correct login authentication credentials.][IsJava=1] 0.0046350001357495785(secs)
